seq,payload_len,total_len,t0_ns,t1_ns,rtt_ns,rtt_adj_ns,clock_overhead_ns,remote_turnaround_ns,rx_len,status
6,4,4,4257501632360,4257501780360,148000,147040,960,0,4,ok
7,4,4,4257501797000,4257501950520,153520,152560,960,0,4,ok
8,4,4,4257501965280,4257502118560,153280,152320,960,0,4,ok
9,4,4,4257502133440,4257502286160,152720,151760,960,0,4,ok
10,4,4,4257502300480,4257502453000,152520,151560,960,0,4,ok
11,4,4,4257502467920,4257502623000,155080,154120,960,0,4,ok
12,4,4,4257502637760,4257502791360,153600,152640,960,0,4,ok
13,4,4,4257502806200,4257502958960,152760,151800,960,0,4,ok
14,4,4,4257502973680,4257503126680,153000,152040,960,0,4,ok
15,4,4,4257503141400,4257503294920,153520,152560,960,0,4,ok
16,4,4,4257503309680,4257503462760,153080,152120,960,0,4,ok
17,4,4,4257503477600,4257503631560,153960,153000,960,0,4,ok
18,4,4,4257503646360,4257503799400,153040,152080,960,0,4,ok
19,4,4,4257503814200,4257503966320,152120,151160,960,0,4,ok
20,4,4,4257503981040,4257504259680,278640,277680,960,0,4,ok
21,4,4,4257504275440,4257504433440,158000,157040,960,0,4,ok
22,4,4,4257504448120,4257504599880,151760,150800,960,0,4,ok
23,4,4,4257504614520,4257504768600,154080,153120,960,0,4,ok
24,4,4,4257504822320,4257504985320,163000,162040,960,0,4,ok
25,4,4,4257505000000,4257505152600,152600,151640,960,0,4,ok
26,4,4,4257505166960,4257505317720,150760,149800,960,0,4,ok
27,4,4,4257505332080,4257505482480,150400,149440,960,0,4,ok
28,4,4,4257505496920,4257505648760,151840,150880,960,0,4,ok
29,4,4,4257505663200,4257505816080,152880,151920,960,0,4,ok
30,4,4,4257505830480,4257505981840,151360,150400,960,0,4,ok
31,4,4,4257505996200,4257506147440,151240,150280,960,0,4,ok
32,4,4,4257506161880,4257506313280,151400,150440,960,0,4,ok
33,4,4,4257506327720,4257506479240,151520,150560,960,0,4,ok
34,4,4,4257506493640,4257506644600,150960,150000,960,0,4,ok
35,4,4,4257506659120,4257506811360,152240,151280,960,0,4,ok
36,4,4,4257506825760,4257506977320,151560,150600,960,0,4,ok
37,4,4,4257506991760,4257507143440,151680,150720,960,0,4,ok
38,4,4,4257507157800,4257507308600,150800,149840,960,0,4,ok
39,4,4,4257507323040,4257507473960,150920,149960,960,0,4,ok
40,4,4,4257507488280,4257507639960,151680,150720,960,0,4,ok
41,4,4,4257507686560,4257507849360,162800,161840,960,0,4,ok
42,4,4,4257507864000,4257508070560,206560,205600,960,0,4,ok
43,4,4,4257508085920,4257508246440,160520,159560,960,0,4,ok
44,4,4,4257508261000,4257508413960,152960,152000,960,0,4,ok
45,4,4,4257508428640,4257508580720,152080,151120,960,0,4,ok
46,4,4,4257508595240,4257508747240,152000,151040,960,0,4,ok
47,4,4,4257508761600,4257508915840,154240,153280,960,0,4,ok
48,4,4,4257508930440,4257509084080,153640,152680,960,0,4,ok
49,4,4,4257509098560,4257509250600,152040,151080,960,0,4,ok
50,4,4,4257509265160,4257509417560,152400,151440,960,0,4,ok
51,4,4,4257509431960,4257509583840,151880,150920,960,0,4,ok
52,4,4,4257509598400,4257509750800,152400,151440,960,0,4,ok
53,4,4,4257509765240,4257509920160,154920,153960,960,0,4,ok
54,4,4,4257509934800,4257510088280,153480,152520,960,0,4,ok
55,4,4,4257510102680,4257510254600,151920,150960,960,0,4,ok
56,4,4,4257510269080,4257510421480,152400,151440,960,0,4,ok
57,4,4,4257510436000,4257510587920,151920,150960,960,0,4,ok
58,4,4,4257510638440,4257510799160,160720,159760,960,0,4,ok
59,4,4,4257510814160,4257510970080,155920,154960,960,0,4,ok
60,4,4,4257510984600,4257511138680,154080,153120,960,0,4,ok
61,4,4,4257511153160,4257511304880,151720,150760,960,0,4,ok
62,4,4,4257511319320,4257511472400,153080,152120,960,0,4,ok
63,4,4,4257511487000,4257511638720,151720,150760,960,0,4,ok
64,4,4,4257511653040,4257511806040,153000,152040,960,0,4,ok
65,4,4,4257511820640,4257511972480,151840,150880,960,0,4,ok
66,4,4,4257511986960,4257512198680,211720,210760,960,0,4,ok
67,4,4,4257512213720,4257512365760,152040,151080,960,0,4,ok
68,4,4,4257512380280,4257512532040,151760,150800,960,0,4,ok
69,4,4,4257512546680,4257512697960,151280,150320,960,0,4,ok
70,4,4,4257512712560,4257512863640,151080,150120,960,0,4,ok
71,4,4,4257512878200,4257513031080,152880,151920,960,0,4,ok
72,4,4,4257513045720,4257513198560,152840,151880,960,0,4,ok
73,4,4,4257513213160,4257513364080,150920,149960,960,0,4,ok
74,4,4,4257513378600,4257513529680,151080,150120,960,0,4,ok
75,4,4,4257513613200,4257513782520,169320,168360,960,0,4,ok
76,4,4,4257513797520,4257513950880,153360,152400,960,0,4,ok
77,4,4,4257513965560,4257514120360,154800,153840,960,0,4,ok
78,4,4,4257514134920,4257514288640,153720,152760,960,0,4,ok
79,4,4,4257514303240,4257514456360,153120,152160,960,0,4,ok
80,4,4,4257514470920,4257514623640,152720,151760,960,0,4,ok
81,4,4,4257514638160,4257514791400,153240,152280,960,0,4,ok
82,4,4,4257514806000,4257514959080,153080,152120,960,0,4,ok
83,4,4,4257514973720,4257515128400,154680,153720,960,0,4,ok
84,4,4,4257515142960,4257515296880,153920,152960,960,0,4,ok
85,4,4,4257515311400,4257515464480,153080,152120,960,0,4,ok
86,4,4,4257515479040,4257515631520,152480,151520,960,0,4,ok
87,4,4,4257515646000,4257515799080,153080,152120,960,0,4,ok
88,4,4,4257515813640,4257515966920,153280,152320,960,0,4,ok
