seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
6,65775457160,65775606400,149240,16200,2760,3200,13240,18000,21200,34480,63920,-2560,ok
7,65775913960,65776253880,339920,21160,3720,4200,13080,34080,38280,191920,75480,-3720,ok
8,65776361800,65776537080,175280,18600,3280,3760,12920,31160,34920,39960,68880,-3280,ok
9,65776640800,65776810160,169360,18440,3280,3760,13600,27280,31040,38600,67680,-3280,ok
10,65776911720,65777082400,170680,17880,3360,3840,13040,27880,31720,39640,68400,-3360,ok
11,65777184360,65777353400,169040,18040,3360,3800,12840,28040,31840,38680,67600,-3320,ok
12,65777455400,65777624120,168720,17720,3280,3720,13280,27560,31280,38520,67920,-3280,ok
13,65777725120,65777893880,168760,18040,3280,3760,13400,26960,30720,38800,67800,-3280,ok
14,65777995560,65778166720,171160,17800,3240,3720,13160,29760,33480,38560,68160,-3240,ok
15,65778268040,65778437360,169320,17960,3400,3720,13920,27160,30880,38400,68120,-3360,ok
16,65778538640,65778707600,168960,17960,3360,3760,12920,27760,31520,38440,68120,-3360,ok
17,65778809440,65778978360,168920,18160,3400,3760,13240,27240,31000,38880,67640,-3400,ok
18,65779120600,65779296480,175880,19520,3760,4120,13560,30800,34920,39320,68560,-3760,ok
19,65779402800,65779572960,170160,18200,3600,3960,13480,27880,31840,39040,67560,-3560,ok
20,65779674600,65779843640,169040,18240,3560,3880,12640,28160,32040,38560,67520,-3520,ok
21,65779944320,65780229680,285360,18080,3600,3960,13440,28720,32680,148680,72480,-3600,ok
22,65780334240,65780508080,173840,17680,3280,3720,12960,30800,34520,39480,69200,-3280,ok
23,65780609720,65780778480,168760,17840,3400,3800,12960,27520,31320,38600,68040,-3400,ok
24,65780878760,65781047720,168960,17600,3400,3760,13520,27160,30920,38400,68480,-3360,ok
25,65781148040,65781319440,171400,17400,3760,4120,13320,29000,33120,39200,68400,-3800,ok
26,65781419880,65781588080,168200,17160,3480,3800,13240,27360,31160,38280,68360,-3480,ok
27,65781688480,65781857000,168520,17400,3400,3760,13200,27120,30880,38800,68240,-3400,ok
