seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
6,44552356360,44552494520,138160,16080,2440,3080,14080,15880,18960,27520,61520,-2440,ok
7,44552834240,44552994680,160440,22360,3280,3560,13480,26240,29800,30040,64760,-3280,ok
8,44553098960,44553247520,148560,18720,3280,3760,13680,20800,24560,28400,63080,-3160,ok
9,44553348960,44553499120,150160,18160,3400,3840,13320,22320,26160,28560,63800,-3240,ok
10,44553599360,44553747840,148480,18560,3240,3720,13920,20960,24680,27960,63200,-3080,ok
11,44553848920,44554006160,157240,18240,3360,3840,13920,29600,33440,27960,63560,-3240,ok
12,44554106920,44554255600,148680,19280,3200,3720,13760,20800,24520,27920,63120,-3120,ok
13,44554357080,44554508160,151080,18520,3400,3880,13720,22280,26160,28880,63680,-3280,ok
14,44554609280,44554758680,149400,19040,3240,3840,13560,21440,25280,28480,62880,-3080,ok
15,44554859480,44555008640,149160,18320,3400,3880,13600,21160,25040,28560,63480,-3240,ok
16,44555109480,44555257880,148400,19000,3240,3760,14040,20480,24240,27800,63200,-3120,ok
17,44555358560,44555509320,150760,18280,3440,3880,13320,21320,25200,29240,64560,-3280,ok
18,44555647320,44555800600,153280,20520,3560,4040,14160,21840,25880,29240,63320,-3400,ok
19,44555904920,44556153280,248360,18400,3280,3760,13600,20720,24480,28320,163440,-3160,ok
20,44556257920,44556410280,152360,19360,3480,3920,13960,21480,25400,28200,65280,-3320,ok
21,44556512880,44556663920,151040,18040,3400,3720,13720,21880,25600,28080,65480,-3280,ok
22,44556764000,44556912640,148640,18440,3520,3880,13760,20800,24680,27960,63720,-3440,ok
23,44557012560,44557160880,148320,18080,3400,3720,13640,20400,24120,27760,64560,-3240,ok
24,44557261200,44557409080,147880,18400,3560,3880,14200,19760,23640,27880,63600,-3400,ok
25,44557508840,44557658960,150120,18040,3360,3600,13200,22160,25760,28080,64920,-3240,ok
26,44557759400,44557908560,149160,18200,3520,4040,13760,20760,24800,28480,63800,-3400,ok
27,44558008680,44558156800,148120,17960,3360,3720,13600,20520,24240,27800,64400,-3240,ok
28,44558256960,44558405120,148160,18480,3520,3880,14000,20160,24040,28000,63520,-3400,ok
29,44558504840,44558655200,150360,18200,3400,3720,13360,20760,24480,28280,65920,-3280,ok
30,44558791240,44558943080,151840,19080,3640,4000,14320,22000,26000,28640,63640,-3480,ok
31,44559045320,44559194280,148960,18080,3360,3760,13320,21400,25160,27920,64400,-3280,ok
32,44559295280,44559442960,147680,18200,3560,3920,13880,19960,23880,27880,63680,-3400,ok
33,44559543520,44559693680,150160,18040,3440,3760,13320,21400,25160,28400,65080,-3280,ok
34,44559795120,44559944080,148960,18280,3520,3840,13760,21120,24960,28280,63560,-3400,ok
35,44560102240,44560253760,151520,19280,3200,3680,13640,20880,24560,27840,66200,-3200,ok
36,44560355280,44560503680,148400,18400,3560,3880,14200,20000,23880,28400,63400,-3440,ok
37,44560603920,44560754520,150600,18200,3400,3720,13160,22400,26120,28640,64400,-3320,ok
38,44560855200,44561004840,149640,18360,3560,3880,13840,21040,24920,28680,63720,-3440,ok
39,44561104920,44561252520,147600,18080,3480,3800,13160,20720,24520,27920,63800,-3360,ok
40,44561352640,44561501840,149200,18160,3520,3840,13800,21040,24880,28320,63880,-3360,ok
41,44561636320,44561790400,154080,19320,3600,3960,13120,22800,26760,28760,66040,-3520,ok
42,44561892600,44562042200,149600,18000,3360,3720,14400,20760,24480,28280,64320,-3240,ok
43,44562142080,44562290560,148480,18280,3560,3880,13320,21320,25200,27960,63560,-3400,ok
44,44562390560,44562538800,148240,18240,3360,3720,13680,20480,24200,28200,63800,-3240,ok
45,44562638640,44562789160,150520,18200,3560,3880,13040,21440,25320,28080,65760,-3440,ok
46,44562888800,44563037440,148640,18160,3400,3720,13760,20680,24400,28440,63720,-3240,ok
47,44563136760,44563284840,148080,18240,3560,3880,14040,20200,24080,27960,63640,-3440,ok
48,44563384920,44563533440,148520,18280,3360,3720,14160,20240,23960,28200,63800,-3240,ok
49,44563633120,44563781640,148520,18080,3560,3960,13040,21480,25440,28280,63560,-3440,ok
50,44563882800,44564080920,198120,17960,3360,3680,13960,21200,24880,28960,112240,-3240,ok
51,44564184040,44564335400,151360,19160,3680,3920,13480,22320,26240,27520,64800,-3520,ok
52,44564437440,44564586520,149080,18360,3400,3720,13960,20080,23800,28400,64440,-3280,ok
53,44564761680,44564922320,160640,21240,3080,3520,13520,24680,28200,30160,67400,-2960,ok
54,44565027280,44565177880,150600,18280,3440,3840,14040,21560,25400,28480,64280,-3320,ok
55,44565279360,44565427480,148120,18080,3560,3880,13080,21120,25000,28240,63600,-3440,ok
56,44565528160,44565676520,148360,18560,3440,3800,14000,20280,24080,28240,63360,-3320,ok
57,44565778000,44565927680,149680,18240,3560,3880,13160,21120,25000,28240,64920,-3440,ok
58,44566028000,44566176200,148200,18160,3480,3800,13600,21160,24960,28080,63240,-3320,ok
59,44566278240,44566425560,147320,18000,3560,3880,13800,20360,24240,28320,62800,-3400,ok
