seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
6,192162510280,192162660720,150440,16480,2960,3320,13120,18720,22040,36000,62680,-2840,ok
7,192162809920,192162988560,178640,18920,3840,3920,13520,31280,35200,39160,71640,-3640,ok
8,192163092440,192163263880,171440,18040,3720,3640,13200,29160,32800,38880,68320,-3520,ok
9,192163366320,192163537040,170720,18200,3680,3800,13600,27760,31560,38320,68840,-3480,ok
10,192163638720,192163808920,170200,18320,3680,3800,13040,28280,32080,38880,67720,-3520,ok
11,192163912200,192164288640,376440,18360,3680,3800,13400,30600,34400,233600,76560,-3560,ok
12,192164399800,192164576200,176400,18560,3920,3640,14120,30840,34480,39440,69640,-3760,ok
13,192164681240,192164851640,170400,17800,3840,3840,13080,28280,32120,38680,68560,-3680,ok
14,192164955080,192165128400,173320,17960,3880,3800,13760,30360,34160,38520,68760,-3720,ok
15,192165232240,192165403920,171680,18000,3800,3760,13880,28480,32240,38640,68720,-3600,ok
16,192165506640,192165677000,170360,17920,3800,3760,13040,29080,32840,38080,68320,-3640,ok
17,192165780920,192165951800,170880,18040,3800,3800,13520,27800,31600,38560,69040,-3680,ok
18,192166092320,192166272400,180080,19040,3800,3760,13680,33200,36960,39040,71160,-3600,ok
19,192166380240,192166551080,170840,18360,3680,3640,13200,28560,32200,38640,68240,-3480,ok
20,192166655880,192166827280,171400,18040,3800,3760,13600,28520,32280,38160,69120,-3600,ok
21,192166931480,192167102160,170680,18160,3840,3800,13680,27880,31680,38560,68480,-3720,ok
22,192167206440,192167379600,173160,17960,3800,3760,13600,30360,34120,38600,68720,-3640,ok
23,192167484280,192167654880,170600,17960,3800,3760,13640,28080,31840,38560,68400,-3600,ok
24,192167758760,192167929880,171120,18400,3840,3760,13520,28360,32120,38360,68520,-3640,ok
25,192168099000,192168276040,177040,19200,3640,3640,13240,29880,33520,40080,70800,-3440,ok
26,192168381920,192168553240,171320,17680,3800,3720,13600,28440,32160,39440,68280,-3640,ok
27,192168656160,192168826320,170160,18000,3800,3760,13960,26920,30680,38920,68400,-3600,ok
28,192168929280,192169099960,170680,18160,3800,3760,13200,28360,32120,38720,68320,-3640,ok
29,192169238440,192169418840,180400,18560,3800,3760,13320,32680,36440,39560,72320,-3600,ok
30,192169525200,192169696640,171440,17960,3680,3600,13440,28440,32040,39040,68760,-3480,ok
31,192169799800,192169973360,173560,18200,3840,3800,13640,28320,32120,38920,70480,-3640,ok
32,192170076400,192170248440,172040,18240,3800,3760,13760,28160,31920,39000,68920,-3600,ok
33,192170352400,192170527200,174800,17920,3960,3920,13120,30560,34480,39280,69800,-3760,ok
34,192170629960,192170801800,171840,17960,3760,3760,13680,28240,32000,39160,68880,-3600,ok
35,192170905320,192171077960,172640,17960,3960,3920,13360,28520,32440,39160,69560,-3800,ok
36,192171180200,192171353600,173400,18040,3760,3760,13520,28520,32280,39080,70360,-3640,ok
37,192171456640,192171629560,172920,18080,3800,3800,13520,28880,32680,39120,69360,-3640,ok
38,192171732000,192171902560,170560,17920,3800,3760,13760,27400,31160,38960,68560,-3600,ok
39,192172058480,192172230040,171560,19240,3120,3280,13520,26040,29320,39520,69800,-2960,ok
40,192172369280,192172549000,179720,18520,3840,3800,13360,33520,37320,39640,70720,-3680,ok
41,192172654520,192172825040,170520,18120,3640,3640,13600,28400,32040,38560,68080,-3520,ok
42,192172927600,192173099040,171440,17960,3800,3760,13160,28840,32600,38520,69000,-3600,ok
43,192173201440,192173372920,171480,18080,3800,3800,13680,28120,31920,39280,68400,-3680,ok
