seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
6,44764574800,44764710920,136120,15920,2320,2640,13120,16360,19000,25960,61960,-2160,ok
7,44765052080,44765215160,163080,20880,4000,3960,12920,28440,32400,29480,67200,-3800,ok
8,44765321040,44765472640,151600,18200,3840,3840,13200,22360,26200,28640,65160,-3640,ok
9,44765574280,44765726600,152320,17640,3800,3760,13400,23040,26800,28800,65480,-3600,ok
10,44765828040,44765979080,151040,17680,3840,3840,13200,22600,26440,28320,65240,-3680,ok
11,44766081720,44766232760,151040,17800,3760,3760,13480,21840,25600,28600,65400,-3600,ok
12,44766334840,44766486440,151600,18160,3800,3760,13440,22120,25880,28560,65400,-3640,ok
13,44766589280,44766742360,153080,17960,3760,3720,12760,22680,26400,29040,66720,-3560,ok
14,44766844680,44766995960,151280,18000,3800,3760,13800,22240,26000,28680,64640,-3640,ok
15,44767097520,44767248520,151000,17800,3760,3760,13040,21920,25680,28640,65680,-3600,ok
16,44767350080,44767501800,151720,18200,3800,3840,13200,21880,25720,29000,65440,-3640,ok
17,44767604560,44767758280,153720,18360,3800,3760,13120,22200,25960,28880,67200,-3600,ok
18,44767896560,44768146320,249760,19400,3840,3760,13160,24600,28360,28560,160080,-3640,ok
19,44768253480,44768411640,158160,19400,3640,3600,13080,25960,29560,28920,67000,-3440,ok
20,44768512960,44768664560,151600,18360,3600,3560,13480,21760,25320,28240,66000,-3400,ok
21,44768765280,44768918240,152960,18320,3600,3600,13240,23280,26880,28480,65880,-3440,ok
22,44769018760,44769170480,151720,18080,3600,3600,13000,23080,26680,28080,65720,-3440,ok
23,44769270760,44769423040,152280,18240,3600,3560,13400,22400,25960,28240,66240,-3400,ok
24,44769523840,44769676080,152240,18680,3560,3600,13160,22400,26000,28280,66000,-3440,ok
25,44769777000,44769930160,153160,18280,3600,3600,13000,24080,27680,28320,65760,-3480,ok
26,44770031040,44770182920,151880,18120,3600,3600,13400,22520,26120,28040,66040,-3440,ok
27,44770283640,44770435440,151800,18360,3640,3600,12960,22400,26000,28080,66200,-3440,ok
