seq,payload_len,total_len,t0_ns,t1_ns,rtt_ns,rtt_adj_ns,clock_overhead_ns,remote_turnaround_ns,rx_len,status
6,4,4,668180430440,668180768680,338240,337600,640,0,4,ok
7,4,4,668180789680,668180893520,103840,103200,640,0,4,ok
8,4,4,668180912480,668181017320,104840,104200,640,0,4,ok
9,4,4,668181036480,668181140240,103760,103120,640,0,4,ok
10,4,4,668181159280,668181263240,103960,103320,640,0,4,ok
11,4,4,668181282160,668181517680,235520,234880,640,0,4,ok
12,4,4,668181538600,668181657680,119080,118440,640,0,4,ok
13,4,4,668181677040,668181778560,101520,100880,640,0,4,ok
14,4,4,668181797280,668181903480,106200,105560,640,0,4,ok
15,4,4,668181922280,668182026840,104560,103920,640,0,4,ok
16,4,4,668182045480,668182150600,105120,104480,640,0,4,ok
17,4,4,668182169520,668182273960,104440,103800,640,0,4,ok
18,4,4,668182292400,668182397440,105040,104400,640,0,4,ok
19,4,4,668182416160,668182520680,104520,103880,640,0,4,ok
20,4,4,668182539320,668182644760,105440,104800,640,0,4,ok
21,4,4,668182663640,668182767720,104080,103440,640,0,4,ok
22,4,4,668182933480,668183057920,124440,123800,640,0,4,ok
23,4,4,668183077040,668183184320,107280,106640,640,0,4,ok
24,4,4,668183202960,668183307320,104360,103720,640,0,4,ok
25,4,4,668183326120,668183430200,104080,103440,640,0,4,ok
